customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00013,Male,0,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,91.0,3623.24,No
CUST-00014,Male,0,No,No,48,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,59.5,2847.92,No
CUST-00015,Female,0,Yes,No,22,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Electronic check,54.33,1189.75,No
CUST-00016,Male,0,No,No,65,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.93,5586.92,No
CUST-00017,Female,0,No,Yes,5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,92.18,470.2,Yes
CUST-00018,Female,0,No,No,57,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),101.1,5757.31,Yes
CUST-00019,Female,1,No,No,8,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,90.13,709.68,Yes
CUST-00020,Male,0,Yes,Yes,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),93.09,457.85,No
CUST-00021,Female,1,No,No,1,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),66.2,67.6,No
CUST-00022,Male,0,No,Yes,44,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,76.62,3364.88,No
CUST-00023,Female,0,Yes,No,62,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Mailed check,91.74,5686.24,No
CUST-00024,Female,1,No,Yes,44,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,85.79,3762.09,Yes
CUST-00025,Female,0,No,No,10,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),73.76,750.43,No
CUST-00026,Female,0,No,No,44,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),71.0,3128.37,Yes
CUST-00027,Female,0,No,Yes,14,No,No phone service,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,57.65,808.61,No
CUST-00028,Female,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,88.14,2190.65,No
CUST-00029,Female,0,No,Yes,18,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),106.1,1919.35,No
CUST-00030,Female,0,No,No,28,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,83.74,2341.16,No
CUST-00031,Male,0,Yes,No,58,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.58,4632.67,Yes
CUST-00032,Male,0,Yes,Yes,60,No,No phone service,DSL,No,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),62.4,3741.36,No
CUST-00033,Female,0,No,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),25.69,1439.3,No
CUST-00034,Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,104.75,199.8,Yes
CUST-00035,Female,0,No,No,14,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,65.27,903.02,No
CUST-00036,Male,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),98.14,893.43,No
CUST-00037,Female,1,No,No,27,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,No,Electronic check,101.79,2746.93,No
CUST-00038,Male,0,Yes,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.42,718.53,Yes
CUST-00039,Male,1,No,No,67,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.65,4858.34,Yes
CUST-00040,Male,0,Yes,No,70,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Mailed check,65.03,4540.54,No
CUST-00041,Male,0,Yes,No,42,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,76.18,3194.02,Yes
CUST-00042,Male,0,No,Yes,56,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),65.17,3633.47,No
CUST-00043,Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,100.29,1000.58,No
CUST-00044,Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,90.03,368.93,No
CUST-00045,Female,0,Yes,Yes,3,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),81.81,256.2,No
CUST-00046,Female,0,No,No,69,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,87.66,6031.59,Yes
CUST-00047,Female,1,Yes,No,44,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),90.66,3970.58,No
CUST-00048,Male,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,54.53,48.08,No
CUST-00049,Female,0,Yes,No,51,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),62.52,3171.75,No
CUST-00050,Female,0,Yes,No,30,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,54.68,1650.44,Yes
CUST-00051,Male,0,No,No,46,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),60.22,2768.6,No
CUST-00052,Female,0,No,Yes,2,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,71.47,138.03,Yes
CUST-00053,Male,0,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,34.27,969.11,No
CUST-00054,Female,1,Yes,No,70,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,78.13,5470.13,Yes
CUST-00055,Male,0,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,99.1,884.22,Yes
CUST-00056,Female,0,Yes,No,4,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),52.95,202.44,Yes
CUST-00057,Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,84.94,1093.16,No
CUST-00058,Male,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,100.16,5211.75,No
CUST-00059,Male,0,Yes,No,7,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,79.49,561.97,No
CUST-00060,Male,0,No,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.25,691.26,No
CUST-00061,Male,0,Yes,No,62,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),62.91,3888.44,No
CUST-00062,Male,0,Yes,Yes,35,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,79.94,2803.57,Yes
CUST-00063,Male,0,No,Yes,50,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,85.62,4270.55,Yes
CUST-00064,Male,0,No,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,29.17,1985.39,No
CUST-00065,Male,0,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,31.52,436.18,No
CUST-00066,Female,0,No,No,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.32,1302.46,No
CUST-00067,Female,0,No,No,11,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,No,Credit card (automatic),79.93,888.74,No
CUST-00068,Male,1,No,Yes,9,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,83.55,759.08,Yes
CUST-00069,Female,1,No,No,47,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),61.09,2851.72,Yes
CUST-00070,Female,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,104.72,5119.01,No
CUST-00071,Female,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.5,107.57,No
CUST-00072,Female,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,93.3,4118.49,No
CUST-00073,Male,0,No,No,10,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),69.67,712.29,No
CUST-00074,Female,1,No,Yes,69,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),78.7,5437.46,No
CUST-00075,Male,0,Yes,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),93.84,1118.86,No
CUST-00076,Female,1,No,Yes,68,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),48.5,3311.85,No
CUST-00077,Female,1,Yes,No,59,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),99.54,5870.03,No
CUST-00078,Female,0,Yes,Yes,66,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Mailed check,46.05,3034.69,No
CUST-00079,Male,0,No,No,53,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,72.86,3838.62,Yes
CUST-00080,Female,0,Yes,No,51,No,No phone service,DSL,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),57.72,2958.18,No
CUST-00081,Male,1,No,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),21.12,1227.28,No
CUST-00082,Female,0,No,No,24,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,93.04,2230.07,No
CUST-00083,Male,1,Yes,Yes,3,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),64.88,201.01,No
CUST-00084,Female,0,Yes,No,49,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),108.47,5311.75,No
CUST-00085,Male,0,Yes,No,7,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card (automatic),72.01,509.51,Yes
CUST-00086,Male,1,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,37.86,No
CUST-00087,Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,22.0,366.71,No
CUST-00088,Male,0,Yes,No,64,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),64.49,4114.94,No
CUST-00089,Female,0,No,No,63,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,51.29,3241.36,No
CUST-00090,Female,0,No,No,36,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,95.48,3416.54,Yes
CUST-00091,Female,0,Yes,No,9,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Mailed check,59.16,518.99,No
CUST-00092,Female,0,Yes,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.1,875.03,No
CUST-00093,Female,1,Yes,Yes,68,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,97.09,6594.9,No
CUST-00094,Female,1,Yes,Yes,3,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,88.59,266.23,Yes
CUST-00095,Female,0,Yes,Yes,8,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,69.34,553.6,Yes
CUST-00096,Female,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),100.19,1790.27,No
CUST-00097,Female,0,Yes,No,54,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,84.72,4569.82,No
CUST-00098,Female,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),29.36,127.85,No
CUST-00099,Female,1,Yes,No,34,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,56.41,1918.38,Yes
CUST-00100,Male,0,Yes,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,38.01,1564.16,No
CUST-00101,Male,0,No,No,25,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),53.84,1332.43,Yes
CUST-00102,Female,0,No,No,66,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,94.76,6252.11,Yes
CUST-00103,Female,0,Yes,Yes,53,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,63.41,3367.94,No
CUST-00104,Female,0,No,No,52,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),91.17,4741.73,No
CUST-00105,Female,0,No,No,9,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),98.54,876.55,No
CUST-00106,Female,0,No,Yes,70,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),61.54,4311.57,No
CUST-00107,Female,0,No,No,69,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,84.11,5803.58,Yes
CUST-00108,Female,0,No,No,64,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,65.83,4209.02,No
CUST-00109,Female,0,No,Yes,66,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,75.78,5006.68,No
CUST-00110,Male,0,Yes,Yes,32,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),85.85,2738.41,No
CUST-00111,Female,0,Yes,Yes,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.94,1446.3,No
CUST-00112,Male,0,No,No,19,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,76.28,1447.14,Yes
CUST-00113,Female,0,No,No,6,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,65.92,403.32,No
CUST-00114,Female,0,Yes,No,23,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,94.24,2168.38,Yes
CUST-00115,Male,0,No,No,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.67,1178.4,No
CUST-00116,Female,1,No,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,28.38,362.14,No
CUST-00117,Male,1,No,No,50,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),103.26,5148.76,No
CUST-00118,Female,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.76,902.35,No
CUST-00119,Female,1,No,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.95,278.72,Yes
CUST-00120,Male,0,Yes,No,15,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),44.84,654.08,No
CUST-00121,Female,0,Yes,No,22,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),69.59,1530.04,No
CUST-00122,Male,0,No,No,22,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,71.9,1571.84,No
CUST-00123,Female,0,Yes,No,42,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,72.65,3059.96,No
CUST-00124,Male,0,No,Yes,61,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),92.38,5632.94,Yes
CUST-00125,Male,0,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.66,1613.21,No
CUST-00126,Female,0,No,No,35,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),87.4,3048.39,Yes
CUST-00127,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,52.13,150.21,Yes
CUST-00128,Male,0,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),32.75,161.22,No
CUST-00129,Female,1,No,No,37,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Electronic check,86.82,3216.49,No
CUST-00130,Female,0,No,Yes,10,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,92.27,920.45,Yes
CUST-00131,Female,0,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,29.18,23.63,No
CUST-00132,Male,0,No,Yes,2,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),52.95,98.39,Yes
CUST-00133,Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.11,6262.77,No
CUST-00134,Male,0,No,No,2,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Electronic check,69.63,136.67,Yes
CUST-00135,Male,0,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),22.65,893.61,No
CUST-00136,Male,0,Yes,No,6,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),59.79,361.05,No
CUST-00137,Male,0,No,No,30,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),96.92,2925.74,No
CUST-00138,Male,0,Yes,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.25,251.14,No
CUST-00139,Male,0,No,No,24,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,78.9,1896.09,Yes
CUST-00140,Male,0,No,No,10,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),59.33,592.73,No
CUST-00141,Female,0,No,No,60,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),80.13,4808.08,No
CUST-00142,Male,0,No,Yes,59,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Mailed check,61.57,3650.42,No
CUST-00143,Female,0,Yes,Yes,10,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,79.06,778.39,Yes
CUST-00144,Female,1,Yes,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.81,126.46,No
CUST-00145,Female,1,No,Yes,22,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),89.39,1966.79,Yes
CUST-00146,Male,1,Yes,No,9,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,58.28,510.66,Yes
CUST-00147,Male,0,Yes,Yes,34,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),65.97,2247.6,No
CUST-00148,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,83.68,483.38,Yes
CUST-00149,Male,0,No,No,57,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,101.89,5814.53,No
CUST-00150,Female,0,Yes,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,69.98,627.08,No
CUST-00151,Male,0,Yes,No,56,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,94.3,5281.78,No
CUST-00152,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,95.21,955.84,Yes
CUST-00153,Male,1,No,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.43,1336.49,No
CUST-00154,Male,0,Yes,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.56,704.86,No
CUST-00155,Male,1,Yes,No,41,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),72.64,2983.07,No
CUST-00156,Female,0,No,No,7,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,59.94,417.42,No
CUST-00157,Male,0,Yes,No,2,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,61.83,131.0,No
CUST-00158,Female,0,No,No,39,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),66.48,2609.36,No
CUST-00159,Male,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),58.88,841.23,Yes
CUST-00160,Female,0,No,Yes,49,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,114.43,5625.7,No
CUST-00161,Male,0,No,Yes,21,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),55.21,1144.61,No
CUST-00162,Male,0,No,No,13,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.36,925.6,No
CUST-00163,Female,0,No,No,70,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,45.8,3207.15,No
CUST-00164,Female,1,Yes,No,24,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),65.4,1569.05,No
CUST-00165,Female,0,No,Yes,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,99.08,2684.99,Yes
CUST-00166,Male,1,Yes,No,58,No,No phone service,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),52.16,3012.01,No
CUST-00167,Female,0,Yes,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.21,1568.74,No
CUST-00168,Male,0,No,No,55,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,65.12,3577.69,No
CUST-00169,Male,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.25,56.4,No
CUST-00170,Female,0,Yes,No,40,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,68.75,2750.33,No
CUST-00171,Female,0,Yes,Yes,9,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,66.25,599.04,No
CUST-00172,Male,0,No,No,47,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),69.18,3256.89,Yes
CUST-00173,Male,0,Yes,Yes,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),32.75,1940.29,No
CUST-00174,Female,0,Yes,Yes,16,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),59.97,965.61,Yes
CUST-00175,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.25,18.8,Yes
CUST-00176,Female,0,Yes,No,26,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Mailed check,51.48,1334.95,No
CUST-00177,Male,0,Yes,No,56,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,73.96,4136.83,No
