gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,ChargePerTenure,NumServices,HighValue,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup_1-2yr,TenureGroup_2-4yr,TenureGroup_4+yr
1,0,0,0,16,1,1,68.75,1102.18,0,4.04,2,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1,0,0,1,17,1,0,105.5,1790.95,1,5.86,4,1,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False
0,0,0,0,13,1,0,48.89,640.08,0,3.49,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
1,0,1,0,37,1,0,81.62,3020.72,0,2.15,2,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False
0,0,1,1,11,1,1,73.59,812.87,1,6.13,4,0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False
1,0,1,0,67,1,0,78.03,5225.82,1,1.15,1,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
0,0,0,0,26,1,1,107.3,2799.15,1,3.97,4,1,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False
1,0,1,0,33,1,1,78.8,2600.68,0,2.32,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,1,51,1,0,82.35,4200.1,1,1.58,1,0,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
0,0,0,0,10,1,1,63.95,661.25,0,5.81,2,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False
1,0,0,0,9,1,1,50.9,460.4,0,5.09,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0,0,1,1,70,1,0,57.78,4059.09,1,0.81,1,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
1,1,1,0,67,1,0,81.78,5456.39,0,1.2,2,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
0,0,1,1,17,1,1,24.92,420.61,1,1.38,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False
0,0,1,1,25,1,1,80.66,2034.61,1,3.1,2,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,1,12,1,1,91.88,1112.58,1,7.07,2,1,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
1,0,0,0,55,1,1,86.04,4726.41,1,1.54,1,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1,1,0,0,54,1,1,101.88,5502.59,0,1.85,3,1,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True
1,1,0,1,51,1,0,69.36,3536.65,0,1.33,2,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
0,0,0,0,47,1,1,81.79,3839.31,1,1.7,1,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0,69,1,1,95.99,6620.58,0,1.37,3,1,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True
0,0,0,0,63,1,1,65.3,4102.09,0,1.02,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True
1,0,0,0,2,0,1,45.0,83.59,1,15.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,1,0,15,1,1,67.56,1034.47,0,4.22,4,0,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False
0,0,1,0,70,1,0,21.51,1511.65,0,0.3,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True
1,0,0,0,46,1,1,60.22,2768.6,0,1.28,2,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
0,0,0,1,29,1,1,76.38,2239.02,1,2.55,1,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
1,0,0,0,50,0,1,23.67,1178.4,0,0.46,0,0,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True
0,1,0,0,36,1,0,80.99,2905.14,1,2.19,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
1,0,1,0,23,1,0,79.25,1814.3,1,3.3,2,0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False
0,0,0,0,69,1,1,96.59,6641.3,0,1.38,3,1,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True
0,0,0,0,45,1,1,69.21,3120.57,1,1.5,3,0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
0,0,1,0,38,1,0,85.45,3253.41,1,2.19,1,0,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,1,0,7,1,0,77.77,550.78,0,9.72,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
1,0,1,1,5,1,0,26.39,138.14,0,4.4,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False
1,0,0,1,37,1,1,77.15,2854.97,0,2.03,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
0,0,1,0,20,1,0,79.37,1586.27,1,3.78,2,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
0,0,0,0,61,1,0,85.87,5237.12,1,1.38,1,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True
1,0,1,0,56,1,0,61.53,3449.79,1,1.08,1,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
1,0,0,0,8,1,0,18.74,145.36,0,2.08,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False
0,0,1,0,4,1,1,44.58,179.92,1,8.92,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,1,38,1,0,73.07,2778.49,1,1.87,1,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,59,1,1,96.1,5673.53,0,1.6,3,1,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True
1,0,0,1,23,1,1,86.2,1978.91,1,3.59,1,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
0,0,1,0,4,1,1,48.17,194.72,1,9.63,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,0,0,0,11,1,1,61.84,675.17,1,5.15,3,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False
0,0,0,0,9,1,1,77.63,700.62,0,7.76,1,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
1,0,1,0,21,1,0,84.22,1769.83,1,3.83,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,0,0,1,26,1,0,71.89,1862.05,0,2.66,2,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False
0,0,1,0,5,0,0,81.93,404.25,1,13.66,1,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False
0,0,0,0,67,1,1,99.84,6697.34,0,1.47,3,1,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True
1,0,0,0,7,1,1,48.24,324.26,1,6.03,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0,0,0,0,52,1,0,90.15,4690.91,1,1.7,2,1,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
0,0,0,0,47,1,1,81.79,3839.31,1,1.7,1,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0,4,1,0,25.87,94.27,0,5.17,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False
1,0,0,1,46,0,1,78.85,3617.23,0,1.68,2,0,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
1,0,1,0,4,1,0,31.83,115.94,0,6.37,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False
1,0,1,0,11,0,1,64.5,719.01,0,5.38,2,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
1,0,1,0,7,1,1,79.49,561.97,0,9.94,5,0,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False
1,0,1,1,61,1,0,64.51,3925.44,0,1.04,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
1,0,1,0,11,1,0,85.28,946.02,1,7.11,5,0,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,0,0,1,38,1,0,29.17,1115.81,1,0.75,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False
0,0,1,0,4,1,0,35.36,141.04,0,7.07,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False
1,1,0,0,66,1,0,57.74,3801.38,0,0.86,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
1,1,0,1,19,1,0,47.11,880.15,0,2.36,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
1,0,0,1,47,1,0,75.46,3557.36,0,1.57,3,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False
0,0,1,0,30,1,1,59.06,1767.14,0,1.91,2,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
0,0,0,0,59,1,0,105.1,6197.71,1,1.75,3,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
0,0,0,0,4,1,1,81.2,312.72,0,16.24,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0,0,1,1,29,1,0,81.32,2358.61,0,2.71,2,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False
0,0,0,0,54,1,0,55.11,2974.67,0,1.0,2,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
0,0,1,0,71,1,1,90.67,6437.43,1,1.26,2,1,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
1,0,0,1,15,1,1,20.39,307.93,0,1.27,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
0,0,1,0,18,1,1,26.31,468.43,0,1.38,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False
1,0,1,1,5,1,1,83.29,412.62,1,13.88,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,1,0,0,51,0,0,82.35,4201.4,0,1.58,2,0,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0,0,0,0,41,1,0,90.22,3693.81,0,2.15,2,1,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False
1,0,0,0,13,1,0,20.88,268.17,0,1.49,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False
0,0,0,0,4,0,0,65.56,256.5,1,13.11,3,0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False
0,0,1,1,62,1,1,84.17,5218.17,0,1.34,3,0,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
1,0,1,0,7,1,0,92.81,647.9,1,11.6,4,1,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False
1,0,0,1,5,1,1,61.36,308.33,1,10.23,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0,0,1,0,8,1,1,31.25,258.52,0,3.47,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False
1,0,0,0,63,1,0,99.86,6302.18,0,1.56,2,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True
0,0,1,1,33,1,0,92.73,3048.67,1,2.73,3,1,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False
0,0,1,1,20,1,0,30.92,619.44,0,1.47,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
1,0,1,0,24,1,0,29.82,710.04,0,1.19,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False
0,0,1,0,3,1,1,62.5,178.81,1,15.62,3,0,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,0,0,1,8,1,1,86.39,684.85,1,9.6,2,1,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1,0,0,0,9,1,1,63.19,578.42,0,6.32,2,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
0,0,0,0,60,1,0,68.59,4125.27,1,1.12,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,0,69,1,1,68.12,4690.96,0,0.97,2,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
0,0,1,1,31,1,1,92.03,2844.97,0,2.88,2,1,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
1,0,0,1,7,1,1,33.29,220.14,1,4.16,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False
1,0,0,1,13,1,0,82.24,1078.35,1,5.87,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1,1,0,0,6,1,1,70.97,406.22,0,10.14,1,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,0,1,1,5,1,1,34.0,168.15,1,5.67,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False
1,0,1,0,38,1,0,23.94,906.64,1,0.61,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
1,0,0,1,5,1,1,85.48,437.08,1,14.25,1,0,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,0,1,0,66,1,1,88.32,5831.15,0,1.32,1,1,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
1,0,1,0,56,1,0,27.16,1542.1,0,0.48,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
0,0,0,0,44,1,1,32.98,1455.29,1,0.73,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False
0,0,1,0,9,1,1,61.94,556.12,0,6.19,1,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
0,0,1,0,62,1,1,61.12,3776.63,0,0.97,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True
0,0,1,0,31,1,1,31.13,966.84,0,0.97,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
1,0,0,0,4,1,1,52.83,211.93,1,10.57,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,1,1,41,0,1,80.89,3328.2,0,1.93,1,0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
1,0,1,0,18,1,1,66.04,1183.78,0,3.48,2,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
0,0,0,0,11,0,1,58.38,635.47,1,4.86,2,0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False
1,0,0,1,7,1,1,76.59,531.5,1,9.57,4,0,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False
1,0,1,0,21,1,1,91.54,1942.85,1,4.16,4,1,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,0,1,1,8,1,1,97.5,768.43,1,10.83,4,1,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False
1,0,0,0,33,0,1,59.17,1952.94,0,1.74,2,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,0,1,0,46,1,0,49.48,2288.35,0,1.05,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
0,0,1,0,10,1,1,96.58,949.81,1,8.78,2,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False
1,0,0,0,4,1,0,56.09,228.5,0,11.22,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,1,0,46,1,0,80.7,3697.17,0,1.72,1,0,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
1,0,0,0,12,1,0,56.21,662.97,1,4.32,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,0,1,0,7,1,1,73.01,502.39,0,9.13,2,0,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1,0,1,0,30,1,1,88.82,2668.66,0,2.87,3,1,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False
0,0,1,0,62,0,1,78.42,4859.37,0,1.24,1,0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
0,0,1,1,55,0,1,74.97,4127.68,1,1.34,0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1,0,0,1,22,1,1,98.0,2160.39,1,4.26,2,1,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1,0,1,0,3,1,0,56.31,172.42,0,14.08,2,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0,0,1,1,19,1,1,79.89,1513.92,0,3.99,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,0,1,0,58,1,0,101.6,5878.35,0,1.72,3,1,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True
0,0,1,0,46,1,0,29.2,1351.63,1,0.62,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
1,0,1,0,1,1,0,76.28,65.03,0,38.14,4,0,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False
0,0,0,1,4,1,1,22.0,89.15,1,4.4,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False
1,0,0,0,64,1,0,100.82,6450.15,0,1.55,3,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
0,0,1,0,66,1,0,53.8,3548.59,1,0.8,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
1,0,0,0,55,1,1,18.25,1001.47,1,0.33,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True
0,0,0,0,67,1,0,64.54,4312.45,0,0.95,3,0,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True
1,1,1,1,36,1,1,66.69,2400.34,1,1.8,3,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
0,0,0,0,16,1,0,33.08,530.15,1,1.95,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False
0,0,0,0,64,0,0,19.64,1252.34,0,0.3,0,0,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True
0,1,0,0,64,1,1,84.03,5379.57,0,1.29,4,0,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True
0,0,0,1,11,1,0,103.46,1134.29,1,8.62,4,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False
1,0,0,1,27,1,0,58.34,1608.67,0,2.08,1,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0,1,1,1,17,1,1,21.36,364.81,0,1.19,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False
1,0,0,0,12,1,0,54.78,663.25,0,4.21,2,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
1,0,1,0,66,1,0,78.96,5227.93,0,1.18,3,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True
0,1,1,0,14,1,0,66.88,923.37,0,4.46,3,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False
1,0,1,0,29,1,1,89.13,2580.8,1,2.97,1,1,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
1,0,1,0,14,0,0,18.25,251.14,0,1.22,0,0,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False
